[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/acorn-jsx/node_modules/acorn/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/acorn-jsx/node_modules/acorn/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/is-fullwidth-code-point/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/is-fullwidth-code-point/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/string-width/node_modules/strip-ansi/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/string-width/node_modules/strip-ansi/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/strip-ansi/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/strip-ansi/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/supports-color/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/supports-color/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/type/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/type/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/wrappy/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/wrappy/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/write/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/write/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/balanced-match/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/balanced-match/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/concat-map/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/concat-map/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/eslint/node_modules/onetime/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/eslint/node_modules/onetime/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/exit-hook/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/exit-hook/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/ext/node_modules/type/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/ext/node_modules/type/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/ext/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/ext/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/function-bind/.jscs.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/function-bind/.jscs.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/function-bind/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/function-bind/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/has/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/has/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-finite/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-finite/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-utf8/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-utf8/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/number-is-nan/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/number-is-nan/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/parse-json/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/parse-json/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/pify/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/pify/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/strip-bom/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/strip-bom/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-license-ids/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-license-ids/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/ansi-regex/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/ansi-regex/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/string-width/node_modules/ansi-regex/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/string-width/node_modules/ansi-regex/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/write/node_modules/mkdirp/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/write/node_modules/mkdirp/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-license-ids/index.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-license-ids/index.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/package.json'
